code,name,group,city,state,region,stateCode
AR00784,Together Events Pvt Ltd,Corporate,Panchkula,Haryana,Northern,HR
AR01864,VINOD K MITTAL & ASSOCIATES,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR02569,Gift Square,Corporate,Kolkata,West Bengal,Eastern,WB
AR02673,Delhi Trophy.Com,Corporate,Delhi,Delhi,Northern,DL
AR04031,Albanero Dev Private Limited,Corporate,Hyderabad,Telangana,Southern,TS
AR04134,Torque Block,Corporate,Bangalore,Karnataka,Southern,KA
AR04161,Finetune Mobiles,Distributo,Coimbatore,Tamil Nadu,Southern,TN
AR04197,Idea Bucket,Corporate,Delhi,Delhi,Northern,DL
AR04198,Jet Sea Logistics,Corporate,FARIDABAD,Haryana,Northern,HR
AR04199,Zodiac Sales,Corporate,Delhi,Delhi,Northern,DL
AR04203,Footloose Inc,Corporate,Ghaziabad,Uttar Pradesh,Northern,UP
AR04204,Gandhinagar Institute of Technology,Corporate,Gandhinagar,Gujarat,Western,GJ
AR04205,Overdrive Electronics Pvt Ltd,Corporate,Noida,Uttar Pradesh,Northern,UP
AR04206,Shree Madhav Polymers,Corporate,Delhi,Delhi,Northern,DL
AR04208,Getset Conferences And Incentive Travels,Corporate,Delhi,Delhi,Northern,DL
AR04209,Studio 16,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04210,Meson Solutions,Corporate,Gurgaon,Haryana,Northern,HR
AR04211,Barkat Electronics,Distributo,Dhubri,Assam,Northeastern,AS
AR04212,My Studio Corporation,Corporate,Baner,Maharashtra,Western,MH
AR04213,Solarwinds India Private Limited,Corporate,Bangalore,Karnataka,Southern,KA
AR04214,MF Global Services,Corporate,Delhi,Delhi,Northern,DL
AR04215,Sporting Ethos Private Limited,Other,Delhi,Delhi,Northern,DL
AR04216,Mobile Paradise,Distributo,Kurukshetra,Haryana,Northern,HR
AR04217,AVL India Pvt. Ltd.,Corporate,Gurgaon,Haryana,Northern,HR
AR04218,Bemisales Media,Other,Delhi,Delhi,Northern,DL
AR04219,Neeta Clearing & Forwarding Agency,Other,Mumbai,Maharashtra,Western,MH
AR04220,Gargi Travels Pvt Ltd,Other,Delhi,Delhi,Northern,DL
AR04222,Mela Ram Forgings,Other,Delhi,Delhi,Northern,DL
AR04223,Nordic Design House Private Limited,Other,Gurgaon,Haryana,Northern,HR
AR04224,Tele Shopee,Distributo,Baripada,Odisha,Eastern,OD
AR04225,JDV Corporate Service LLP,Other,Mumbai,Maharashtra,Western,MH
AR04226,Chical India Private Limited,Corporate,Gurgaon,Haryana,Northern,HR
AR04227,Shoolin,Distributo,Bhubaneswar,Odisha,Eastern,OD
AR04229,Vinayak Solutions Private Limited,Corporate,Delhi,Delhi,Northern,DL
AR04230,Giftmaker,Corporate,Thane,Maharashtra,Western,MH
AR04231,Delta Enterprises,Corporate,Imphal,Manipur,Northeastern,MN
AR04232,Lakhani Travel World,Other,Hyderabad,Telangana,Southern,TS
AR04233,Vardhman Dharam Kanta,Other,Delhi,Delhi,Northern,DL
AR04234,Mnj & Co,Other,Delhi,Delhi,Northern,DL
AR04235,WorldMakers.in,Other,Meerut,Uttar Pradesh,Northern,UP
AR04236,The Corporate Apple,Corporate,Ghaziabad,Uttar Pradesh,Northern,UP
AR04237,VIDYARDHI ENTERPRISES,Corporate,Machilipatnam,Andhra Pradesh,Southern,AP
AR04238,Sara Synergy,Other,Delhi,Delhi,Northern,DL
AR04239,Shri Rani Sati Enterprises,Other,Delhi,Delhi,Northern,DL
AR04240,Woniry Associates,Distributo,Wayanad,Kerala,Southern,KL
AR04242,Stay Breezy Hospitality,Other,Gurgaon,Haryana,Northern,HR
AR04243,Wrecker Jeans & Casuals Pvt Ltd,Other,Noida,Uttar Pradesh,Northern,UP
AR04244,Merchstudio Private Limited,Corporate,Gurgaon,Haryana,Northern,HR
AR04245,Manoj K Singla & Associates,Other,Delhi,Delhi,Northern,DL
AR04246,Happy To Help,Distributo,Sonitpur,Assam,Northeastern,AS
AR04247,Global Enterprises,Corporate,Hyderabad,Telangana,Southern,TS
AR04249,Quick Digital Solution,Distributo,West Kameng,Arunachal Pradesh,Northeastern,AR
AR04250,Vardhman Trading Co.,Other,Ambala,Haryana,Northern,HR
AR04251,Chandigarh Video Games,Distributo,Chandigarh,Chandigarh,Northern,CH
AR04252,Misa International,Corporate,Delhi,Delhi,Northern,DL
AR04253,Prem Sukhdas And Sons,Corporate,sonipat,Haryana,Northern,HR
AR04255,PCJ Motors,Other,Muzaffarnagar,Uttar Pradesh,Northern,UP
AR04256,Sunrise Label Co Pvt Ltd,Other,Delhi,Delhi,Northern,DL
AR04258,Auctus Consulting,Other,Noida,Uttar Pradesh,Northern,UP
AR04259,Electromax Solutions Pvt Ltd,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04265,Gita Telecom,Distributo,Howrah,West Bengal,Eastern,WB
AR04267,A S Construction Works,Other,Meerut,Uttar Pradesh,Northern,UP
AR04268,Northcorp Marketing Pvt Ltd,Corporate,Delhi,Delhi,Northern,DL
AR04270,Dark Hors Insurance Marketing Pvt Ltd,Other,Ghaziabad,Uttar Pradesh,Northern,UP
AR04272,Sara Traders,Distributo,Chandigarh,Chandigarh,Northern,CH
AR04273,SS Brunette,Other,Noida,Uttar Pradesh,Northern,UP
AR04264,Plastic Surgery and Women Health Care Centre,Other,Delhi,Delhi,Northern,DL
AR04277,Shree Sai Marketing,Other,Dhule,Maharashtra,Western,MH
AR04263,Kirat Enterprises,Other,Delhi,Delhi,Northern,DL
AR04262,Impact Industrial Corporation,Other,Delhi,Delhi,Northern,DL
AR04260,Shankar Traders,Other,Delhi,Delhi,Northern,DL
AR04261,SPDG & Associates,Other,Delhi,Delhi,Northern,DL
AR04278,Shree Ram Suppliers,Other,Delhi,Delhi,Northern,DL
AR04294,Universal Traders,Distributo,Nashik,Maharashtra,Western,MH
AR04300,Prism,Distributo,Mumbai,Maharashtra,Western,MH
AR04257,Jenila Communications,Distributo,Tirupathur,Tamil Nadu,Southern,TN
AR04286,Agrawal Agency,Distributo,Samastipur,Bihar,Eastern,BR
AR04319,A.S.I.T,Distributo,Bettiah,Bihar,Eastern,BR
AR04298,Preethi Mobiles,Distributo,Alappuzha,Kerala,Southern,KL
AR04321,Neel Traders,Distributo,Solapur,Maharashtra,Western,MH
AR04290,Bose Enterprise,Distributo,Chakdaha,West Bengal,Eastern,WB
AR04292,LMN Smartfix,Distributo,Cherrapunji,Meghalaya,Northeastern,ML
AR04295,Ridhi Sidhi Enterprises,Distributo,Anupgarh,Rajasthan,Northern,RJ
AR04305,Anu Enterprise,Distributo,Howrah,West Bengal,Eastern,WB
AR04282,Dikazo Solutions Private Limited,Distributo,Hyderabad,Telangana,Southern,TS
AR04284,Solution Electronics,Distributo,Burdwan,West Bengal,Eastern,WB
AR02988,Progressive Retail,Corporate,Hyderabad,Telangana,Southern,TS
AR04325,Jainx Laptop And Computer World,Distributo,Raipur,Chhattisgarh,Central,CG
AR04269,K N Enterprises,Corporate,Chennai,Tamil Nadu,Southern,TN
AR04306,EGCPL Consultants Pvt Ltd,Corporate,Mumbai,Maharashtra,Western,MH
AR04280,Computer Junction Pvt. Ltd.,Corporate,Delhi,Delhi,Northern,DL
AR04304,Beyond Dusk Solutions LLP,Corporate,Mumbai,Maharashtra,Western,MH
AR04313,Kalika Steel Alloys Pvt Ltd,Corporate,Jalna,Maharashtra,Western,MH
AR04285,Rudram Market Development Services Pvt Ltd,Corporate,Delhi,Delhi,Northern,DL
AR04317,Scope For Change,Other,Delhi,Delhi,Northern,DL
